filename,count,bit
out-0.0000005-0.2--023.4,25165761,1
out-0.0000005-0.2--023.5,23,0
out-0.0000005-0.2--023.5,25165761,1
out-0.0000005-0.2--023.6,23,0
out-0.0000005-0.2--023.6,25165761,1
out-0.0000005-0.2--023.7,23,0
out-0.0000005-0.2--023.7,25165761,1
out-0.0000005-0.2--023.8,23,0
out-0.0000005-0.2--023.8,25165761,1
out-0.0000005-0.2--023.9,23,0
out-0.0000005-0.2--023.9,25165761,1
out-0.0000005-0.2--024.0,23,0
out-0.0000005-0.2--024.0,25165761,1
out-0.0000005-0.2--024.1,23,0
out-0.0000005-0.2--024.1,25165761,1
out-0.0000005-0.2--024.2,23,0
out-0.0000005-0.2--024.2,25165761,1
out-0.0000005-0.2--024.3,23,0
out-0.0000005-0.2--024.3,25165761,1
out-0.0000005-0.2--024.4,23,0
out-0.0000005-0.2--024.4,25165761,1
out-0.0000005-0.2--024.5,23,0
out-0.0000005-0.2--024.5,25165761,1
out-0.0000005-0.2--024.6,23,0
out-0.0000005-0.2--024.6,25165761,1
out-0.0000005-0.2--024.7,23,0
out-0.0000005-0.2--024.7,25165761,1
out-0.0000005-0.2--024.8,23,0
out-0.0000005-0.2--024.8,25165761,1
out-0.0000005-0.2--024.9,23,0
out-0.0000005-0.2--024.9,25165761,1
out-0.0000005-0.2--025.0,23,0
out-0.0000005-0.2--025.0,25165761,1
out-0.0000005-0.2--025.1,23,0
out-0.0000005-0.2--025.1,25165761,1
out-0.0000005-0.2--025.2,23,0
out-0.0000005-0.2--025.2,25165761,1
out-0.0000005-0.2--025.3,23,0
out-0.0000005-0.2--025.3,25165761,1
out-0.0000005-0.2--025.4,23,0
out-0.0000005-0.2--025.4,25165761,1
out-0.0000005-0.2--025.5,23,0
out-0.0000005-0.2--025.5,25165761,1
out-0.0000005-0.2--025.6,23,0
out-0.0000005-0.2--025.6,25165761,1
out-0.0000005-0.2--025.7,23,0
out-0.0000005-0.2--025.7,25165761,1
out-0.0000005-0.2--025.8,23,0
out-0.0000005-0.2--025.8,25165761,1
out-0.0000005-0.2--025.9,23,0
out-0.0000005-0.2--025.9,25165761,1
out-0.0000005-0.2--026.0,23,0
out-0.0000005-0.2--026.0,25165761,1
out-0.0000005-0.2--026.1,23,0
out-0.0000005-0.2--026.1,25165761,1
out-0.0000005-0.2--026.2,23,0
out-0.0000005-0.2--026.2,25165761,1
out-0.0000005-0.2--026.3,23,0
out-0.0000005-0.2--026.3,25165761,1
out-0.0000005-0.2--026.4,23,0
out-0.0000005-0.2--026.4,25165761,1
out-0.0000005-0.2--026.5,23,0
out-0.0000005-0.2--026.5,25165761,1
out-0.0000005-0.2--026.6,23,0
out-0.0000005-0.2--026.6,25165761,1
out-0.0000005-0.2--026.7,23,0
out-0.0000005-0.2--026.7,25165761,1
out-0.0000005-0.2--026.8,24,0
out-0.0000005-0.2--026.8,25165760,1
out-0.0000005-0.2--026.9,24,0
out-0.0000005-0.2--026.9,25165760,1
out-0.0000005-0.2--027.0,24,0
out-0.0000005-0.2--027.0,25165760,1
out-0.0000005-0.2--027.1,24,0
out-0.0000005-0.2--027.1,25165760,1
out-0.0000005-0.2--027.2,24,0
out-0.0000005-0.2--027.2,25165760,1
out-0.0000005-0.2--027.3,24,0
out-0.0000005-0.2--027.3,25165760,1
out-0.0000005-0.2--027.4,24,0
out-0.0000005-0.2--027.4,25165760,1
out-0.0000005-0.2--027.5,24,0
out-0.0000005-0.2--027.5,25165760,1
out-0.0000005-0.2--027.6,24,0
out-0.0000005-0.2--027.6,25165760,1
out-0.0000005-0.2--027.7,24,0
out-0.0000005-0.2--027.7,25165760,1
out-0.0000005-0.2--027.8,24,0
out-0.0000005-0.2--027.8,25165760,1
out-0.0000005-0.2--027.9,24,0
out-0.0000005-0.2--027.9,25165760,1
out-0.0000005-0.2--028.0,24,0
out-0.0000005-0.2--028.0,25165760,1
out-0.0000005-0.2--028.1,24,0
out-0.0000005-0.2--028.1,25165760,1
out-0.0000005-0.2--028.2,24,0
out-0.0000005-0.2--028.2,25165760,1
out-0.0000005-0.2--028.3,24,0
out-0.0000005-0.2--028.3,25165760,1
out-0.0000005-0.2--028.4,24,0
out-0.0000005-0.2--028.4,25165760,1
out-0.0000005-0.2--028.5,24,0
out-0.0000005-0.2--028.5,25165760,1
out-0.0000005-0.2--028.6,24,0
out-0.0000005-0.2--028.6,25165760,1
out-0.0000005-0.2--028.7,24,0
out-0.0000005-0.2--028.7,25165760,1
out-0.0000005-0.2--028.8,24,0
out-0.0000005-0.2--028.8,25165760,1
out-0.0000005-0.2--028.9,24,0
out-0.0000005-0.2--028.9,25165760,1
out-0.0000005-0.2--029.0,24,0
out-0.0000005-0.2--029.0,25165760,1
out-0.0000005-0.2--029.1,24,0
out-0.0000005-0.2--029.1,25165760,1
out-0.0000005-0.2--029.2,24,0
out-0.0000005-0.2--029.2,25165760,1
out-0.0000005-0.2--029.3,24,0
