filename,count,bit
out-039.3,30,0
out-039.3,25165754,1
out-039.4,30,0
out-039.4,25165754,1
out-039.5,30,0
out-039.5,25165754,1
out-039.6,30,0
out-039.6,25165754,1
out-039.7,30,0
out-039.7,25165754,1
out-039.8,30,0
out-039.8,25165754,1
out-039.9,30,0
out-039.9,25165754,1
out-040.0,30,0
out-040.0,25165754,1
out-040.1,30,0
out-040.1,25165754,1
out-040.2,30,0
out-040.2,25165754,1
out-040.3,30,0
out-040.3,25165754,1
out-040.4,30,0
out-040.4,25165754,1
out-040.5,33,0
out-040.5,25165751,1
out-040.6,30,0
out-040.6,25165754,1
out-040.7,30,0
out-040.7,25165754,1
out-040.8,30,0
out-040.8,25165754,1
out-040.9,30,0
out-040.9,25165754,1
out-041.0,34,0
out-041.0,25165750,1
out-041.1,30,0
out-041.1,25165754,1
out-041.2,30,0
out-041.2,25165754,1
out-041.3,30,0
out-041.3,25165754,1
out-041.4,30,0
out-041.4,25165754,1
out-041.5,30,0
out-041.5,25165754,1
out-041.6,30,0
out-041.6,25165754,1
out-041.7,30,0
out-041.7,25165754,1
out-041.8,30,0
out-041.8,25165754,1
out-041.9,30,0
out-041.9,25165754,1
out-042.0,30,0
out-042.0,25165754,1
out-042.1,30,0
out-042.1,25165754,1
out-042.2,30,0
out-042.2,25165754,1
out-042.3,30,0
out-042.3,25165754,1
out-042.4,30,0
out-042.4,25165754,1
out-042.5,30,0
out-042.5,25165754,1
out-042.6,30,0
out-042.6,25165754,1
out-042.7,30,0
out-042.7,25165754,1
out-042.8,30,0
out-042.8,25165754,1
out-042.9,30,0
out-042.9,25165754,1
out-043.0,34,0
out-043.0,25165750,1
out-043.1,30,0
out-043.1,25165754,1
out-043.2,30,0
out-043.2,25165754,1
out-043.3,30,0
out-043.3,25165754,1
out-043.4,30,0
out-043.4,25165754,1
out-043.5,30,0
out-043.5,25165754,1
out-043.6,32,0
out-043.6,25165752,1
out-043.7,30,0
out-043.7,25165754,1
out-043.8,30,0
out-043.8,25165754,1
out-043.9,36,0
out-043.9,25165748,1
out-044.0,30,0
out-044.0,25165754,1
out-044.1,30,0
out-044.1,25165754,1
out-044.2,30,0
out-044.2,25165754,1
out-044.3,30,0
out-044.3,25165754,1
out-044.4,30,0
out-044.4,25165754,1
out-044.5,30,0
out-044.5,25165754,1
out-044.6,30,0
out-044.6,25165754,1
out-044.7,30,0
out-044.7,25165754,1
out-044.8,30,0
out-044.8,25165754,1
out-044.9,30,0
out-044.9,25165754,1
out-045.0,30,0
out-045.0,25165754,1
out-045.1,30,0
out-045.1,25165754,1
out-045.2,30,0
out-045.2,25165754,1
out-045.3,30,0
out-045.3,25165754,1
out-045.4,30,0
out-045.4,25165754,1
out-045.5,30,0
out-045.5,25165754,1
out-045.7,30,0
out-045.7,25165754,1
out-045.6,30,0
out-045.6,25165754,1
out-045.8,30,0
out-045.8,25165754,1
out-045.9,30,0
out-045.9,25165754,1
out-046.0,30,0
out-046.0,25165754,1
out-046.1,30,0
out-046.1,25165754,1
out-046.2,30,0
out-046.2,25165754,1
out-046.4,30,0
out-046.4,25165754,1
out-046.3,30,0
out-046.3,25165754,1
out-046.5,30,0
out-046.5,25165754,1
out-046.6,30,0
out-046.6,25165754,1
out-046.7,30,0
out-046.7,25165754,1
out-046.8,30,0
out-046.8,25165754,1
out-046.9,30,0
